OBJECTID,LSTRNMID,LSTRNM,RSTRNMID,RSTRNM,postcode,DISTRICT,GISID,EINDSTRNM,EINDGEOM,LABEL_LSTRNM,LABEL_RSTRNM,RRSTRAATCODE_RSTRNM,RRSTRAATCODE_LSTRNM,RRSTRAATCODE_POSTCODE_LSTRNM,RRSTRAATCODE_POSTCODE_RSTRNM,STRAATNAAMID_12,RRSTRAATCODE_12,SHAPE_Length
1,-9, ,662,Derde Havendok-Noordkaai,2030,Antwerpen,2030-9662,,, ,DERDE HAVENDOK-NOORDKAAI,0875,,,20300875,,,1138.20937459677
2,-9, ,1420,Kanaaldok B1-Westkaai,2040,Berendrecht-Zandvliet-Lillo,2040-91420,,, ,KANAALDOK B1-WESTKAAI,0888,,,20400888,,,209.459356292437
3,-9, ,2316,Pinksterbloemlaan,2180,Ekeren,2180-92316,,, ,PINKSTERBLOEMLAAN,3149,,,21803149,,,39.8313971709613
4,-9, ,2578,Schriek,2180,Ekeren,2180-92578,,, ,SCHRIEK,1163,,,21801163,,,102.928986958889
5,-9, ,2582,Schuildok voor Lichters,2030,Antwerpen,2030-92582,,, ,SCHUILDOK VOOR LICHTERS,0800,,,20300800,,,175.45244754185
6,121,Aakstraat,121,Aakstraat,2040,Berendrecht-Zandvliet-Lillo,2040121121,,,AAKSTRAAT,AAKSTRAAT,0517,0517,20400517,20400517,,,243.165942397489
7,122,Aalbeslei,122,Aalbeslei,2610,Wilrijk,2610122122,,,AALBESLEI,AALBESLEI,3005,3005,26103005,26103005,,,140.728257286818
8,123,Aalmoezenierstraat,123,Aalmoezenierstraat,2000,Antwerpen,2000123123,,,AALMOEZENIERSTRAAT,AALMOEZENIERSTRAAT,2201,2201,20002201,20002201,,,284.68953739239
9,124,Aarschotplaats,124,Aarschotplaats,2018,Antwerpen,2018124124,,,AARSCHOTPLAATS,AARSCHOTPLAATS,4201,4201,20184201,20184201,,,56.0055471262041
10,125,Aarschotstraat,125,Aarschotstraat,2018,Antwerpen,2018125125,,,AARSCHOTSTRAAT,AARSCHOTSTRAAT,4202,4202,20184202,20184202,,,130.14363761328
11,126,Aartselaarstraat,126,Aartselaarstraat,2660,Hoboken,2660126126,,,AARTSELAARSTRAAT,AARTSELAARSTRAAT,0401,0401,26600401,26600401,,,837.571270464739
12,127,Abdijstraat,127,Abdijstraat,2020,Antwerpen,2020127127,,,ABDIJSTRAAT,ABDIJSTRAAT,9201,9201,20209201,20209201,,,853.643078165334
13,128,Abelenprieel,128,Abelenprieel,2610,Wilrijk,2610128128,,,ABELENPRIEEL,ABELENPRIEEL,1000,1000,26101000,26101000,,,92.3194210265497
14,129,Abraham Verhoevenlaan,129,Abraham Verhoevenlaan,2050,Antwerpen,2050129129,,,ABRAHAM VERHOEVENLAAN,ABRAHAM VERHOEVENLAAN,2301,2301,20502301,20502301,,,277.068682368816
15,130,Abtenstraat,130,Abtenstraat,2040,Berendrecht-Zandvliet-Lillo,2040130130,,,ABTENSTRAAT,ABTENSTRAAT,0454,0454,20400454,20400454,,,232.74242903329
16,131,Acacialaan,131,Acacialaan,2020,Antwerpen,2020131131,,,ACACIALAAN,ACACIALAAN,9101,9101,20209101,20209101,,,664.454975213164
17,131,Acacialaan,131,Acacialaan,2610,Wilrijk,2610131131,,,ACACIALAAN,ACACIALAAN,9101,9101,26109101,26109101,,,301.290185052104
18,132,Achturendagstraat,132,Achturendagstraat,2660,Hoboken,2660132132,,,ACHTURENDAGSTRAAT,ACHTURENDAGSTRAAT,0701,0701,26600701,26600701,,,287.761947582896
19,133,Adelaarstraat,133,Adelaarstraat,2170,Merksem,2170133133,,,ADELAARSTRAAT,ADELAARSTRAAT,0001,0001,21700001,21700001,,,293.970339378123
20,134,Adelbert Kennisplein,134,Adelbert Kennisplein,2100,Deurne,2100134134,,,ADELBERT KENNISPLEIN,ADELBERT KENNISPLEIN,0901,0901,21000901,21000901,,,155.605129471499
21,135,Admiraal de Boisotstraat,135,Admiraal de Boisotstraat,2000,Antwerpen,2000135135,,,ADMIRAAL DE BOISOTSTRAAT,ADMIRAAL DE BOISOTSTRAAT,3101,3101,20003101,20003101,,,175.207708194385
22,136,Adolf Greinerstraat,136,Adolf Greinerstraat,2660,Hoboken,2660136136,,,ADOLF GREINERSTRAAT,ADOLF GREINERSTRAAT,0702,0702,26600702,26600702,,,1572.17959171192
23,137,Adolf Menystraat,137,Adolf Menystraat,2050,Antwerpen,2050137137,,,ADOLF MENYSTRAAT,ADOLF MENYSTRAAT,2404,2404,20502404,20502404,,,240.670466578549
24,138,Adriaan Brouwerstraat,138,Adriaan Brouwerstraat,2000,Antwerpen,2000138138,,,ADRIAAN BROUWERSTRAAT,ADRIAAN BROUWERSTRAAT,0107,0107,20000107,20000107,,,246.599974328586
25,139,Aernout en Willemlaan,139,Aernout en Willemlaan,2050,Antwerpen,2050139139,,,AERNOUT EN WILLEMLAAN,AERNOUT EN WILLEMLAAN,2327,2327,20502327,20502327,,,210.695325877676
26,140,Afrikalaan,140,Afrikalaan,2610,Wilrijk,2610140140,,,AFRIKALAAN,AFRIKALAAN,1005,1005,26101005,26101005,,,58.5415243212787
27,142,Ahornenlaan,142,Ahornenlaan,2020,Antwerpen,2020142142,,,AHORNENLAAN,AHORNENLAAN,9102,9102,20209102,20209102,,,144.760421328256
28,142,Ahornenlaan,142,Ahornenlaan,2610,Wilrijk,2610142142,,,AHORNENLAAN,AHORNENLAAN,9102,9102,26109102,26109102,,,504.290258271491
29,143,Aimé De Graevestraat,143,Aimé De Graevestraat,2100,Deurne,2100143143,,,AIMÉ DE GRAEVESTRAAT,AIMÉ DE GRAEVESTRAAT,0902,0902,21000902,21000902,,,73.2002106221973
30,144,Akker,144,Akker,2180,Ekeren,2180144144,,,AKKER,AKKER,1001,1001,21801001,21801001,,,404.557493712689
31,145,Akkerbouwstraat,145,Akkerbouwstraat,2170,Merksem,2170145145,,,AKKERBOUWSTRAAT,AKKERBOUWSTRAAT,0002,0002,21700002,21700002,,,377.29688375445
32,146,Akkerwindestraat,146,Akkerwindestraat,2050,Antwerpen,2050146146,,,AKKERWINDESTRAAT,AKKERWINDESTRAAT,2302,2302,20502302,20502302,,,239.428034591306
33,147,Albert Bevernagelei,147,Albert Bevernagelei,2100,Deurne,2100147147,,,ALBERT BEVERNAGELEI,ALBERT BEVERNAGELEI,0101,0101,21000101,21000101,,,356.929891769926
34,148,Albert Dickschenstraat,148,Albert Dickschenstraat,2610,Wilrijk,2610148148,,,ALBERT DICKSCHENSTRAAT,ALBERT DICKSCHENSTRAAT,3010,3010,26103010,26103010,,,165.36649686851
35,149,Albert Einsteinlaan,149,Albert Einsteinlaan,2660,Hoboken,2660149149,,,ALBERT EINSTEINLAAN,ALBERT EINSTEINLAAN,0402,0402,26600402,26600402,,,341.070179296374
36,151,Albert Meulemansstraat,151,Albert Meulemansstraat,2170,Merksem,2170151151,,,ALBERT MEULEMANSSTRAAT,ALBERT MEULEMANSSTRAAT,0003,0003,21700003,21700003,,,158.275220100694
37,152,Albert Spietaelslaan,152,Albert Spietaelslaan,2100,Deurne,2100152152,,,ALBERT SPIETAELSLAAN,ALBERT SPIETAELSLAAN,0601,0601,21000601,21000601,,,148.769514206515
38,154,Albertdok,3109,Vrieskaai,2030,Antwerpen,20301543109,,,ALBERTDOK,VRIESKAAI,0833,0868,20300868,20300833,,,596.09234840512
39,155,Albertdok-Oostkaai,155,Albertdok-Oostkaai,2030,Antwerpen,2030155155,,,ALBERTDOK-OOSTKAAI,ALBERTDOK-OOSTKAAI,0701,0701,20300701,20300701,,,285.009219405626
40,156,Albertdok-Westkaai,156,Albertdok-Westkaai,2030,Antwerpen,2030156156,,,ALBERTDOK-WESTKAAI,ALBERTDOK-WESTKAAI,0702,0702,20300702,20300702,,,1494.59784182335
41,158,Albertstraat,158,Albertstraat,2018,Antwerpen,2018158158,,,ALBERTSTRAAT,ALBERTSTRAAT,5101,5101,20185101,20185101,,,179.527336113849
42,159,Albrecht Dürerstraat,159,Albrecht Dürerstraat,2050,Antwerpen,2050159159,,,ALBRECHT DÜRERSTRAAT,ALBRECHT DÜRERSTRAAT,2311,2311,20502311,20502311,,,175.380982133093
43,160,Albrecht Rodenbachstraat,160,Albrecht Rodenbachstraat,2140,Borgerhout,2140160160,,,ALBRECHT RODENBACHSTRAAT,ALBRECHT RODENBACHSTRAAT,2418,2418,21402418,21402418,,,151.484845730028
44,161,Alexander Farneseplein,161,Alexander Farneseplein,2050,Antwerpen,2050161161,,,ALEXANDER FARNESEPLEIN,ALEXANDER FARNESEPLEIN,2313,2313,20502313,20502313,,,194.264641123335
45,161,Alexander Farneseplein,1003,Gloriantlaan,2050,Antwerpen,20501611003,,,ALEXANDER FARNESEPLEIN,GLORIANTLAAN,2324,2313,20502313,20502324,,,30.3226571771351
46,162,Alfons Chantrainestraat,162,Alfons Chantrainestraat,2610,Wilrijk,2610162162,,,ALFONS CHANTRAINESTRAAT,ALFONS CHANTRAINESTRAAT,1010,1010,26101010,26101010,,,106.448959872174
47,163,Alfons De Cockstraat,163,Alfons De Cockstraat,2020,Antwerpen,2020163163,,,ALFONS DE COCKSTRAAT,ALFONS DE COCKSTRAAT,9202,9202,20209202,20209202,,,324.401941590262
48,164,Alfons De Schutterstraat,164,Alfons De Schutterstraat,2180,Ekeren,2180164164,,,ALFONS DE SCHUTTERSTRAAT,ALFONS DE SCHUTTERSTRAAT,2005,2005,21802005,21802005,,,243.691296596827
49,165,Alfons De Vosstraat,165,Alfons De Vosstraat,2610,Wilrijk,2610165165,,,ALFONS DE VOSSTRAAT,ALFONS DE VOSSTRAAT,1015,1015,26101015,26101015,,,150.396100254507
50,166,Alfons Engelsstraat,166,Alfons Engelsstraat,2060,Antwerpen,2060166166,,,ALFONS ENGELSSTRAAT,ALFONS ENGELSSTRAAT,8201,8201,20608201,20608201,,,92.8100483328552
51,167,Alfons Jeurissenstraat,167,Alfons Jeurissenstraat,2180,Ekeren,2180167167,,,ALFONS JEURISSENSTRAAT,ALFONS JEURISSENSTRAAT,1003,1003,21801003,21801003,,,129.121886066021
52,168,Alfons Schneiderlaan,168,Alfons Schneiderlaan,2100,Deurne,2100168168,,,ALFONS SCHNEIDERLAAN,ALFONS SCHNEIDERLAAN,0501,0501,21000501,21000501,,,1246.03440867057
53,169,Alfons Wellensstraat,169,Alfons Wellensstraat,2610,Wilrijk,2610169169,,,ALFONS WELLENSSTRAAT,ALFONS WELLENSSTRAAT,1020,1020,26101020,26101020,,,258.457771345361
54,170,Alfons Wensstraat,170,Alfons Wensstraat,2180,Ekeren,2180170170,,,ALFONS WENSSTRAAT,ALFONS WENSSTRAAT,1004,1004,21801004,21801004,,,240.735070036164
55,171,Alfred Coolsstraat,171,Alfred Coolsstraat,2020,Antwerpen,2020171171,,,ALFRED COOLSSTRAAT,ALFRED COOLSSTRAAT,9103,9103,20209103,20209103,,,334.54358985136
56,172,Alfred Nobellaan,172,Alfred Nobellaan,2660,Hoboken,2660172172,,,ALFRED NOBELLAAN,ALFRED NOBELLAAN,0120,0120,26600120,26600120,,,570.516672317231
57,173,Alfred Oststraat,173,Alfred Oststraat,2140,Borgerhout,2140173173,,,ALFRED OSTSTRAAT,ALFRED OSTSTRAAT,4504,4504,21404504,21404504,,,193.91478090714
58,174,Alice Nahonstraat,174,Alice Nahonstraat,2180,Ekeren,2180174174,,,ALICE NAHONSTRAAT,ALICE NAHONSTRAAT,1301,1301,21801301,21801301,,,206.691410138292
59,175,Alkstraat,175,Alkstraat,2170,Merksem,2170175175,,,ALKSTRAAT,ALKSTRAAT,0004,0004,21700004,21700004,,,224.925902744422
60,176,Allewaertstraat,176,Allewaertstraat,2000,Antwerpen,2000176176,,,ALLEWAERTSTRAAT,ALLEWAERTSTRAAT,3102,3102,20003102,20003102,,,137.550252224386
61,177,Aloïs De Laetstraat,177,Aloïs De Laetstraat,2020,Antwerpen,2020177177,,,ALOÏS DE LAETSTRAAT,ALOÏS DE LAETSTRAAT,9260,9260,20209260,20209260,,,298.843137840188
62,178,Alsemstraat,178,Alsemstraat,2050,Antwerpen,2050178178,,,ALSEMSTRAAT,ALSEMSTRAAT,2303,2303,20502303,20502303,,,252.818859138282
63,179,Amandus Geenenlaan,179,Amandus Geenenlaan,2100,Deurne,2100179179,,,AMANDUS GEENENLAAN,AMANDUS GEENENLAAN,0503,0503,21000503,21000503,,,176.006785747109
64,180,Ambtmanstraat,180,Ambtmanstraat,2000,Antwerpen,2000180180,,,AMBTMANSTRAAT,AMBTMANSTRAAT,1101,1101,20001101,20001101,,,114.774342219744
65,180,Ambtmanstraat,2089,Mutsaardstraat,2000,Antwerpen,20001802089,,,AMBTMANSTRAAT,MUTSAARDSTRAAT,1154,1101,20001101,20001154,,,28.025584492137
66,181,Amerikadok,181,Amerikadok,2030,Antwerpen,2030181181,,,AMERIKADOK,AMERIKADOK,0700,0700,20300700,20300700,,,489.250540838489
67,182,Amerikadok-Noordkaai,182,Amerikadok-Noordkaai,2030,Antwerpen,2030182182,,,AMERIKADOK-NOORDKAAI,AMERIKADOK-NOORDKAAI,0703,0703,20300703,20300703,,,565.567425354057
68,185,Amerikadok-Zuidkaai,185,Amerikadok-Zuidkaai,2030,Antwerpen,2030185185,,,AMERIKADOK-ZUIDKAAI,AMERIKADOK-ZUIDKAAI,0706,0706,20300706,20300706,,,1029.62997162496
69,186,Amerikalei,186,Amerikalei,2000,Antwerpen,2000186186,,,AMERIKALEI,AMERIKALEI,3203,3203,20003203,20003203,,,4903.12023236758
70,187,Amethiststraat,187,Amethiststraat,2600,Berchem,2600187187,,,AMETHISTSTRAAT,AMETHISTSTRAAT,2000,2000,26002000,26002000,,,124.382659590056
71,188,Amsterdamstraat,188,Amsterdamstraat,2000,Antwerpen,2000188188,,,AMSTERDAMSTRAAT,AMSTERDAMSTRAAT,0101,0101,20000101,20000101,,,788.503090657704
72,190,André Hermanslaan,190,André Hermanslaan,2100,Deurne,2100190190,,,ANDRÉ HERMANSLAAN,ANDRÉ HERMANSLAAN,0505,0505,21000505,21000505,,,229.266912652321
73,191,Angelus Roncallilaan,191,Angelus Roncallilaan,2610,Wilrijk,2610191191,,,ANGELUS RONCALLILAAN,ANGELUS RONCALLILAAN,4005,4005,26104005,26104005,,,299.222794202078
74,192,Anjelierstraat,192,Anjelierstraat,2600,Berchem,2600192192,,,ANJELIERSTRAAT,ANJELIERSTRAAT,0001,0001,26000001,26000001,,,113.557869592322
75,193,Ankerrui,193,Ankerrui,2000,Antwerpen,2000193193,,,ANKERRUI,ANKERRUI,7201,7201,20007201,20007201,,,1306.72443347002
76,194,Anna Bijnsstraat,194,Anna Bijnsstraat,2600,Berchem,2600194194,,,ANNA BIJNSSTRAAT,ANNA BIJNSSTRAAT,1000,1000,26001000,26001000,,,198.218664651169
77,195,Anneessensstraat,195,Anneessensstraat,2018,Antwerpen,2018195195,,,ANNEESSENSSTRAAT,ANNEESSENSSTRAAT,6201,6201,20186201,20186201,,,165.783393625783
78,195,Anneessensstraat,195,Anneessensstraat,2060,Antwerpen,2060195195,,,ANNEESSENSSTRAAT,ANNEESSENSSTRAAT,6201,6201,20606201,20606201,,,45.4346024944791
79,196,Annuntiatenstraat,196,Annuntiatenstraat,2170,Merksem,2170196196,,,ANNUNTIATENSTRAAT,ANNUNTIATENSTRAAT,0005,0005,21700005,21700005,,,228.054010940137
80,197,Anselmostraat,197,Anselmostraat,2018,Antwerpen,2018197197,,,ANSELMOSTRAAT,ANSELMOSTRAAT,4203,4203,20184203,20184203,,,447.816012094179
81,198,Anton van Duinkerkenstraat,198,Anton van Duinkerkenstraat,2050,Antwerpen,2050198198,,,ANTON VAN DUINKERKENSTRAAT,ANTON VAN DUINKERKENSTRAAT,2400,2400,20502400,20502400,,,87.6215913737471
82,199,Antoon Marstboomstraat,199,Antoon Marstboomstraat,2050,Antwerpen,2050199199,,,ANTOON MARSTBOOMSTRAAT,ANTOON MARSTBOOMSTRAAT,2322,2322,20502322,20502322,,,215.532779056321
83,200,Antoon Van den Bosschelaan,200,Antoon Van den Bosschelaan,2100,Deurne,2100200200,,,ANTOON VAN DEN BOSSCHELAAN,ANTOON VAN DEN BOSSCHELAAN,0507,0507,21000507,21000507,,,682.189268855157
84,201,Antoon van Dyckstraat,201,Antoon van Dyckstraat,2018,Antwerpen,2018201201,,,ANTOON VAN DYCKSTRAAT,ANTOON VAN DYCKSTRAAT,5201,5201,20185201,20185201,,,335.285027779707
85,202,Antverpiastraat_HO,202,Antverpiastraat_HO,2660,Hoboken,2660202202,,,ANTVERPIASTRAAT,ANTVERPIASTRAAT,0201,0201,26600201,26600201,,,344.507566044785
86,203,Antverpiastraat_EK,203,Antverpiastraat_EK,2180,Ekeren,2180203203,,,ANTVERPIASTRAAT,ANTVERPIASTRAAT,2010,2010,21802010,21802010,,,191.870461040312
87,204,Antwerpsebaan,204,Antwerpsebaan,2040,Berendrecht-Zandvliet-Lillo,2040204204,,,ANTWERPSEBAAN,ANTWERPSEBAAN,0401,0401,20400401,20400401,,,13262.2887027875
88,205,Antwerpsesteenweg,205,Antwerpsesteenweg,2660,Hoboken,2660205205,,,ANTWERPSESTEENWEG,ANTWERPSESTEENWEG,0101,0101,26600101,26600101,,,5042.36975880864
89,206,Apollostraat,206,Apollostraat,2140,Borgerhout,2140206206,,,APOLLOSTRAAT,APOLLOSTRAAT,2001,2001,21402001,21402001,,,192.368502902443
90,206,Apollostraat,206,Apollostraat,2600,Berchem,2600206206,,,APOLLOSTRAAT,APOLLOSTRAAT,2001,2001,26002001,26002001,,,574.767865859786
91,207,Apostelstraat,207,Apostelstraat,2000,Antwerpen,2000207207,,,APOSTELSTRAAT,APOSTELSTRAAT,1104,1104,20001104,20001104,,,76.5521933423025
92,208,Appelmansstraat,208,Appelmansstraat,2018,Antwerpen,2018208208,,,APPELMANSSTRAAT,APPELMANSSTRAAT,6202,6202,20186202,20186202,,,160.442309366943
93,209,Appelstraat,209,Appelstraat,2140,Borgerhout,2140209209,,,APPELSTRAAT,APPELSTRAAT,1220,1220,21401220,21401220,,,253.151589690605
94,210,Arbeidersstraat,210,Arbeidersstraat,2600,Berchem,2600210210,,,ARBEIDERSSTRAAT,ARBEIDERSSTRAAT,2002,2002,26002002,26002002,,,236.308375595129
95,211,Arenaplein,211,Arenaplein,2100,Deurne,2100211211,,,ARENAPLEIN,ARENAPLEIN,0701,0701,21000701,21000701,,,335.035269713587
96,212,Arenbergstraat,212,Arenbergstraat,2000,Antwerpen,2000212212,,,ARENBERGSTRAAT,ARENBERGSTRAAT,2101,2101,20002101,20002101,,,279.733933186228
97,213,Arendshoflaan,213,Arendshoflaan,2100,Deurne,2100213213,,,ARENDSHOFLAAN,ARENDSHOFLAAN,0603,0603,21000603,21000603,,,396.396425410421
98,214,Arendstraat,214,Arendstraat,2018,Antwerpen,2018214214,,,ARENDSTRAAT,ARENDSTRAAT,6103,6103,20186103,20186103,,,214.322863462818
99,215,Argentiniëlaan,215,Argentiniëlaan,2020,Antwerpen,2020215215,,,ARGENTINIËLAAN,ARGENTINIËLAAN,0201,0201,20200201,20200201,,,24.3915589736283
100,215,Argentiniëlaan,215,Argentiniëlaan,2030,Antwerpen,2030215215,,,ARGENTINIËLAAN,ARGENTINIËLAAN,0201,0201,20300201,20300201,,,1444.3093654156
101,216,Armeduivelstraat,216,Armeduivelstraat,2000,Antwerpen,2000216216,,,ARMEDUIVELSTRAAT,ARMEDUIVELSTRAAT,2102,2102,20002102,20002102,,,31.1251518628699
102,217,Armenstraatje,217,Armenstraatje,2040,Berendrecht-Zandvliet-Lillo,2040217217,,,ARMENSTRAATJE,ARMENSTRAATJE,0501,0501,20400501,20400501,,,269.258957539283
103,218,Arnold Vrancxlaan,218,Arnold Vrancxlaan,2100,Deurne,2100218218,,,ARNOLD VRANCXLAAN,ARNOLD VRANCXLAAN,0703,0703,21000703,21000703,,,121.913539979724
104,218,Arnold Vrancxlaan,218,Arnold Vrancxlaan,2140,Borgerhout,2140218218,,,ARNOLD VRANCXLAAN,ARNOLD VRANCXLAAN,0703,0703,21400703,21400703,,,28.6648708655579
105,219,Arsenaalstraat,219,Arsenaalstraat,2000,Antwerpen,2000219219,,,ARSENAALSTRAAT,ARSENAALSTRAAT,2206,2206,20002206,20002206,,,105.911167449672
106,220,Arthur Goemaerelei,220,Arthur Goemaerelei,2018,Antwerpen,2018220220,,,ARTHUR GOEMAERELEI,ARTHUR GOEMAERELEI,4101,4101,20184101,20184101,,,457.44719377471
107,222,Arthur Sterckstraat,222,Arthur Sterckstraat,2600,Berchem,2600222222,,,ARTHUR STERCKSTRAAT,ARTHUR STERCKSTRAAT,0002,0002,26000002,26000002,,,240.488596520433
108,223,Asblok,223,Asblok,2610,Wilrijk,2610223223,,,ASBLOK,ASBLOK,1025,1025,26101025,26101025,,,42.5637776811579
109,224,Asiabrug,224,Asiabrug,2030,Antwerpen,2030224224,,,ASIABRUG,ASIABRUG,0869,0869,20300869,20300869,,,16.8806607733635
110,225,Asiadok,225,Asiadok,2030,Antwerpen,2030225225,,,ASIADOK,ASIADOK,0870,0870,20300870,20300870,,,542.593298568082
111,225,Asiadok,225,Asiadok,2060,Antwerpen,2060225225,,,ASIADOK,ASIADOK,0870,0870,20600870,20600870,,,56.503551892124
112,227,Asiadok-Oostkaai,225,Asiadok,2030,Antwerpen,2030227225,,,ASIADOK-OOSTKAAI,ASIADOK,0870,0709,20300709,20300870,,,371.752625459441
113,227,Asiadok-Oostkaai,227,Asiadok-Oostkaai,2030,Antwerpen,2030227227,,,ASIADOK-OOSTKAAI,ASIADOK-OOSTKAAI,0709,0709,20300709,20300709,,,993.435255652854
114,228,Asiadok-Westkaai,228,Asiadok-Westkaai,2030,Antwerpen,2030228228,,,ASIADOK-WESTKAAI,ASIADOK-WESTKAAI,0710,0710,20300710,20300710,,,393.217303826451
115,229,Asiadok-Zuidkaai,229,Asiadok-Zuidkaai,2030,Antwerpen,2030229229,,,ASIADOK-ZUIDKAAI,ASIADOK-ZUIDKAAI,0711,0711,20300711,20300711,,,155.26743608911
116,230,Asterlaan,230,Asterlaan,2180,Ekeren,2180230230,,,ASTERLAAN,ASTERLAAN,2015,2015,21802015,21802015,,,124.066168950227
117,231,Athenestraat,231,Athenestraat,2020,Antwerpen,2020231231,,,ATHENESTRAAT,ATHENESTRAAT,9285,9285,20209285,20209285,,,114.756257540778
118,232,Atlasstraat,232,Atlasstraat,2660,Hoboken,2660232232,,,ATLASSTRAAT,ATLASSTRAAT,0602,0602,26600602,26600602,,,162.824842982892
119,233,Atletenstraat,233,Atletenstraat,2020,Antwerpen,2020233233,,,ATLETENSTRAAT,ATLETENSTRAAT,9203,9203,20209203,20209203,,,414.796042449711
120,234,Atomiumlaan,234,Atomiumlaan,2610,Wilrijk,2610234234,,,ATOMIUMLAAN,ATOMIUMLAAN,1030,1030,26101030,26101030,,,945.552845149102
121,235,Auditoriumlaan,235,Auditoriumlaan,2610,Wilrijk,2610235235,,,AUDITORIUMLAAN,AUDITORIUMLAAN,1040,1040,26101040,26101040,,,231.600018981461
122,236,August Leyweg,236,August Leyweg,2020,Antwerpen,2020236236,,,AUGUST LEYWEG,AUGUST LEYWEG,9279,9279,20209279,20209279,,,1216.11693262291
123,237,August Michielsstraat,237,August Michielsstraat,2000,Antwerpen,2000237237,,,AUGUST MICHIELSSTRAAT,AUGUST MICHIELSSTRAAT,0125,0125,20000125,20000125,,,314.455990631859
124,238,August Petenlei,238,August Petenlei,2100,Deurne,2100238238,,,AUGUST PETENLEI,AUGUST PETENLEI,0705,0705,21000705,21000705,,,259.859173650238
125,239,August Scheyvaertslaan,239,August Scheyvaertslaan,2180,Ekeren,2180239239,,,AUGUST SCHEYVAERTSLAAN,AUGUST SCHEYVAERTSLAAN,1006,1006,21801006,21801006,,,396.93534873546
126,240,August Sniedersstraat,240,August Sniedersstraat,2060,Antwerpen,2060240240,,,AUGUST SNIEDERSSTRAAT,AUGUST SNIEDERSSTRAAT,8203,8203,20608203,20608203,,,185.837513815656
127,241,August Van Cauwelaertlaan,241,August Van Cauwelaertlaan,2050,Antwerpen,2050241241,,,AUGUST VAN CAUWELAERTLAAN,AUGUST VAN CAUWELAERTLAAN,2383,2383,20502383,20502383,,,332.98601561698
128,242,August Van Daelstraat,242,August Van Daelstraat,2610,Wilrijk,2610242242,,,AUGUST VAN DAELSTRAAT,AUGUST VAN DAELSTRAAT,2020,2020,26102020,26102020,,,212.131171537823
129,243,August Van de Wielelei,243,August Van de Wielelei,2100,Deurne,2100243243,,,AUGUST VAN DE WIELELEI,AUGUST VAN DE WIELELEI,0605,0605,21000605,21000605,,,6305.52336869273
130,245,August Vermeylenlaan,245,August Vermeylenlaan,2050,Antwerpen,2050245245,,,AUGUST VERMEYLENLAAN,AUGUST VERMEYLENLAAN,2391,2391,20502391,20502391,,,1561.42581484901
131,246,Auguste Oleffestraat,246,Auguste Oleffestraat,2020,Antwerpen,2020246246,,,AUGUSTE OLEFFESTRAAT,AUGUSTE OLEFFESTRAAT,9261,9261,20209261,20209261,,,56.3179565015915
132,247,Augustijnenstraat,247,Augustijnenstraat,2000,Antwerpen,2000247247,,,AUGUSTIJNENSTRAAT,AUGUSTIJNENSTRAAT,2207,2207,20002207,20002207,,,156.706173783775
133,248,Australiëlaan,248,Australiëlaan,2610,Wilrijk,2610248248,,,AUSTRALIËLAAN,AUSTRALIËLAAN,1045,1045,26101045,26101045,,,107.00399927911
134,250,Averbodestraat,250,Averbodestraat,2040,Berendrecht-Zandvliet-Lillo,2040250250,,,AVERBODESTRAAT,AVERBODESTRAAT,0437,0437,20400437,20400437,,,232.635928756977
135,251,Azalealei,251,Azalealei,2170,Merksem,2170251251,,,AZALEALEI,AZALEALEI,0006,0006,21700006,21700006,,,363.985062431493
136,252,Aziëlaan,252,Aziëlaan,2610,Wilrijk,2610252252,,,AZIËLAAN,AZIËLAAN,1060,1060,26101060,26101060,,,84.7070518722676
137,253,Azobestraat,253,Azobestraat,2030,Antwerpen,2030253253,,,AZOBESTRAAT,AZOBESTRAAT,0832,0832,20300832,20300832,,,368.819823636178
138,255,Baeckelmansstraat,255,Baeckelmansstraat,2000,Antwerpen,2000255255,,,BAECKELMANSSTRAAT,BAECKELMANSSTRAAT,2103,2103,20002103,20002103,,,50.5649547610851
139,256,Baggenstraat,256,Baggenstraat,2140,Borgerhout,2140256256,,,BAGGENSTRAAT,BAGGENSTRAAT,3619,3619,21403619,21403619,,,190.576237929903
140,257,Bakkerstraat,257,Bakkerstraat,2140,Borgerhout,2140257257,,,BAKKERSTRAAT,BAKKERSTRAAT,1216,1216,21401216,21401216,,,214.754178568631
141,258,Balansstraat,258,Balansstraat,2018,Antwerpen,2018258258,,,BALANSSTRAAT,BALANSSTRAAT,3205,3205,20183205,20183205,,,786.891372288434
142,259,Baljuwlaan,259,Baljuwlaan,2180,Ekeren,2180259259,,,BALJUWLAAN,BALJUWLAAN,3007,3007,21803007,21803007,,,260.983219089756
143,260,Ballaarstraat,260,Ballaarstraat,2018,Antwerpen,2018260260,,,BALLAARSTRAAT,BALLAARSTRAAT,4102,4102,20184102,20184102,,,370.037826289073
144,261,Baltimorestraat,261,Baltimorestraat,2030,Antwerpen,2030261261,,,BALTIMORESTRAAT,BALTIMORESTRAAT,0202,0202,20300202,20300202,,,142.966752594374
145,264,Barnkrachtstraat,264,Barnkrachtstraat,2170,Merksem,2170264264,,,BARNKRACHTSTRAAT,BARNKRACHTSTRAAT,0007,0007,21700007,21700007,,,186.739272259935
146,265,Baron de Catersstraat,265,Baron de Catersstraat,2600,Berchem,2600265265,,,BARON DE CATERSSTRAAT,BARON DE CATERSSTRAAT,0004,0004,26000004,26000004,,,179.615658144659
