OBJECTID,LSTRNMID,LSTRNM,RSTRNMID,RSTRNM,postcode,DISTRICT,GISID,EINDSTRNM,EINDGEOM,LABEL_LSTRNM,LABEL_RSTRNM,RRSTRAATCODE_RSTRNM,RRSTRAATCODE_LSTRNM,RRSTRAATCODE_POSTCODE_LSTRNM,RRSTRAATCODE_POSTCODE_RSTRNM,STRAATNAAMID_12,RRSTRAATCODE_12,SHAPE_Length
14093,-9, ,-9, ,2180,Ekeren,1064742180,,, , ,,,,,,,32.9350154823088
14094,-9, ,-9, ,2610,Wilrijk,4801932610,,, , ,,,,,,,23.1550145984673
14095,-9, ,-9, ,2610,Wilrijk,4315972610,,, , ,,,,,,,15.7783207109917
14096,-9, ,-9, ,2040,Berendrecht-Zandvliet-Lillo,4061532040,,, , ,,,,,,,173.587219683157
14097,-9, ,-9, ,2030,Antwerpen,4097612030,,, , ,,,,,,,156.410409748154
14098,-9, ,-9, ,2040,Berendrecht-Zandvliet-Lillo,4646982040,,, , ,,,,,,,295.109892521929
14099,-9, ,-9, ,2050,Antwerpen,11237772050,,, , ,,,,,,,27.7481721727146
14100,-9, ,-9, ,2040,Berendrecht-Zandvliet-Lillo,1245852040,,, , ,,,,,,,470.709230954746
14101,-9, ,-9, ,2610,Wilrijk,841632610,,, , ,,,,,,,58.4365527575367
14102,-9, ,-9, ,2040,Berendrecht-Zandvliet-Lillo,4870672040,,, , ,,,,,,,86.7157642256231
14103,-9, ,-9, ,2610,Wilrijk,1263242610,,, , ,,,,,,,6.16737902205185
14104,-9, ,-9, ,2050,Antwerpen,4935522050,,, , ,,,,,,,109.569415457126
14105,-9, ,-9, ,2000,Antwerpen,11319622000,,, , ,,,,,,,66.4312487305307
14106,-9, ,-9, ,2018,Antwerpen,11319622018,,, , ,,,,,,,0.417627585200918
14107,-9, ,-9, ,2050,Antwerpen,749692050,,, , ,,,,,,,212.297279007775
14108,-9, ,-9, ,2050,Antwerpen,1017662050,,, , ,,,,,,,114.464625148136
14109,-9, ,-9, ,2660,Hoboken,922642660,,, , ,,,,,,,366.982328294209
14110,-9, ,-9, ,2180,Ekeren,4971482180,,, , ,,,,,,,61.3851832033977
14111,-9, ,-9, ,2170,Merksem,4836002170,,, , ,,,,,,,60.3609043638544
14112,-9, ,-9, ,2020,Antwerpen,4494452020,,, , ,,,,,,,42.8719789843204
14113,-9, ,-9, ,2610,Wilrijk,1151982610,,, , ,,,,,,,273.054643267689
14114,-9, ,-9, ,2040,Berendrecht-Zandvliet-Lillo,4844862040,,, , ,,,,,,,26.1651767707755
14115,-9, ,-9, ,2030,Antwerpen,4985952030,,, , ,,,,,,,42.4068638524739
14116,-9, ,-9, ,2660,Hoboken,1195532660,,, , ,,,,,,,165.823106309467
14117,-9, ,-9, ,2600,Berchem,11262202600,,, , ,,,,,,,54.4631638310549
14118,-9, ,-9, ,2040,Berendrecht-Zandvliet-Lillo,4928442040,,, , ,,,,,,,127.405738451426
14119,-9, ,-9, ,2040,Berendrecht-Zandvliet-Lillo,4680482040,,, , ,,,,,,,5.9424753255531
14120,-9, ,-9, ,2660,Hoboken,1242412660,,, , ,,,,,,,67.6141050163097
14121,-9, ,-9, ,2040,Berendrecht-Zandvliet-Lillo,4864572040,,, , ,,,,,,,90.3328665383959
14122,-9, ,-9, ,2170,Merksem,4709472170,,, , ,,,,,,,66.8117659765851
14123,-9, ,-9, ,2180,Ekeren,817492180,,, , ,,,,,,,191.078123000947
14124,-9, ,-9, ,2660,Hoboken,1288472660,,, , ,,,,,,,72.1383176632278
