,speed,deg,gust,address,time,LSTRNM,postcode,DISTRICT,lat,lon,full_address
27,4.92,238,9.6,Aalmoezenierstraat 2000 Antwerpen,18-Nov 00:00,Aalmoezenierstraat,2000,Antwerpen,51.2141268,4.4006563,Aalmoezenierstraat 2000 Antwerpen
28,4.74,231,10.98,Aalmoezenierstraat 2000 Antwerpen,18-Nov 03:00,Aalmoezenierstraat,2000,Antwerpen,51.2141268,4.4006563,Aalmoezenierstraat 2000 Antwerpen
29,4.73,216,10.95,Aalmoezenierstraat 2000 Antwerpen,18-Nov 06:00,Aalmoezenierstraat,2000,Antwerpen,51.2141268,4.4006563,Aalmoezenierstraat 2000 Antwerpen
30,5.12,223,10.74,Aalmoezenierstraat 2000 Antwerpen,18-Nov 09:00,Aalmoezenierstraat,2000,Antwerpen,51.2141268,4.4006563,Aalmoezenierstraat 2000 Antwerpen
31,4.34,242,6.58,Aalmoezenierstraat 2000 Antwerpen,18-Nov 12:00,Aalmoezenierstraat,2000,Antwerpen,51.2141268,4.4006563,Aalmoezenierstraat 2000 Antwerpen
32,2.89,239,5.91,Aalmoezenierstraat 2000 Antwerpen,18-Nov 15:00,Aalmoezenierstraat,2000,Antwerpen,51.2141268,4.4006563,Aalmoezenierstraat 2000 Antwerpen
33,2.06,239,3.04,Aalmoezenierstraat 2000 Antwerpen,18-Nov 18:00,Aalmoezenierstraat,2000,Antwerpen,51.2141268,4.4006563,Aalmoezenierstraat 2000 Antwerpen
34,1.69,215,1.69,Aalmoezenierstraat 2000 Antwerpen,18-Nov 21:00,Aalmoezenierstraat,2000,Antwerpen,51.2141268,4.4006563,Aalmoezenierstraat 2000 Antwerpen
35,1.71,222,1.93,Aalmoezenierstraat 2000 Antwerpen,19-Nov 00:00,Aalmoezenierstraat,2000,Antwerpen,51.2141268,4.4006563,Aalmoezenierstraat 2000 Antwerpen
36,2.0,241,3.2,Aalmoezenierstraat 2000 Antwerpen,19-Nov 03:00,Aalmoezenierstraat,2000,Antwerpen,51.2141268,4.4006563,Aalmoezenierstraat 2000 Antwerpen
37,2.21,243,4.24,Aalmoezenierstraat 2000 Antwerpen,19-Nov 06:00,Aalmoezenierstraat,2000,Antwerpen,51.2141268,4.4006563,Aalmoezenierstraat 2000 Antwerpen
38,1.75,238,2.77,Aalmoezenierstraat 2000 Antwerpen,19-Nov 09:00,Aalmoezenierstraat,2000,Antwerpen,51.2141268,4.4006563,Aalmoezenierstraat 2000 Antwerpen
39,2.56,247,3.41,Aalmoezenierstraat 2000 Antwerpen,19-Nov 12:00,Aalmoezenierstraat,2000,Antwerpen,51.2141268,4.4006563,Aalmoezenierstraat 2000 Antwerpen
40,2.47,176,5.13,Admiraal de Boisotstraat 2000 Antwerpen,14-Nov 15:00,Admiraal de Boisotstraat,2000,Antwerpen,51.2066655,4.3928622,Admiraal de Boisotstraat 2000 Antwerpen
41,3.33,186,8.87,Admiraal de Boisotstraat 2000 Antwerpen,14-Nov 18:00,Admiraal de Boisotstraat,2000,Antwerpen,51.2066655,4.3928622,Admiraal de Boisotstraat 2000 Antwerpen
42,3.62,194,10.21,Admiraal de Boisotstraat 2000 Antwerpen,14-Nov 21:00,Admiraal de Boisotstraat,2000,Antwerpen,51.2066655,4.3928622,Admiraal de Boisotstraat 2000 Antwerpen
43,4.2,190,9.66,Admiraal de Boisotstraat 2000 Antwerpen,15-Nov 00:00,Admiraal de Boisotstraat,2000,Antwerpen,51.2066655,4.3928622,Admiraal de Boisotstraat 2000 Antwerpen
44,4.22,198,9.53,Admiraal de Boisotstraat 2000 Antwerpen,15-Nov 03:00,Admiraal de Boisotstraat,2000,Antwerpen,51.2066655,4.3928622,Admiraal de Boisotstraat 2000 Antwerpen
45,4.13,213,9.17,Admiraal de Boisotstraat 2000 Antwerpen,15-Nov 06:00,Admiraal de Boisotstraat,2000,Antwerpen,51.2066655,4.3928622,Admiraal de Boisotstraat 2000 Antwerpen
46,4.99,172,10.41,Admiraal de Boisotstraat 2000 Antwerpen,15-Nov 09:00,Admiraal de Boisotstraat,2000,Antwerpen,51.2066655,4.3928622,Admiraal de Boisotstraat 2000 Antwerpen
47,6.11,164,11.4,Admiraal de Boisotstraat 2000 Antwerpen,15-Nov 12:00,Admiraal de Boisotstraat,2000,Antwerpen,51.2066655,4.3928622,Admiraal de Boisotstraat 2000 Antwerpen
48,6.24,154,13.38,Admiraal de Boisotstraat 2000 Antwerpen,15-Nov 15:00,Admiraal de Boisotstraat,2000,Antwerpen,51.2066655,4.3928622,Admiraal de Boisotstraat 2000 Antwerpen
49,5.44,163,12.74,Admiraal de Boisotstraat 2000 Antwerpen,15-Nov 18:00,Admiraal de Boisotstraat,2000,Antwerpen,51.2066655,4.3928622,Admiraal de Boisotstraat 2000 Antwerpen
50,5.37,185,11.64,Admiraal de Boisotstraat 2000 Antwerpen,15-Nov 21:00,Admiraal de Boisotstraat,2000,Antwerpen,51.2066655,4.3928622,Admiraal de Boisotstraat 2000 Antwerpen
51,4.0,196,9.67,Admiraal de Boisotstraat 2000 Antwerpen,16-Nov 00:00,Admiraal de Boisotstraat,2000,Antwerpen,51.2066655,4.3928622,Admiraal de Boisotstraat 2000 Antwerpen
52,4.42,207,9.69,Admiraal de Boisotstraat 2000 Antwerpen,16-Nov 03:00,Admiraal de Boisotstraat,2000,Antwerpen,51.2066655,4.3928622,Admiraal de Boisotstraat 2000 Antwerpen
53,4.5,183,11.73,Admiraal de Boisotstraat 2000 Antwerpen,16-Nov 06:00,Admiraal de Boisotstraat,2000,Antwerpen,51.2066655,4.3928622,Admiraal de Boisotstraat 2000 Antwerpen
