,LSTRNM,postcode,DISTRICT,lat,lon
96,Gillisplaats,2000,Antwerpen,51.2082879,4.3890257
97,Giststraat,2000,Antwerpen,51.22714,4.403436
98,Godefriduskaai,2000,Antwerpen,51.2280913,4.4089858
99,Goedehoopstraat,2000,Antwerpen,51.21406,4.3935802
100,Gorterstraat,2000,Antwerpen,51.2242378,4.3998356
101,Graaf van Egmontstraat,2000,Antwerpen,51.211936,4.3941021
102,Graaf van Hoornestraat,2000,Antwerpen,51.2083254,4.3930069
103,Graanmarkt,2000,Antwerpen,51.2159306,4.4079924
104,Gramayestraat,2000,Antwerpen,51.2183632,4.4069315
105,Gratiekapelstraat,2000,Antwerpen,51.2223281,4.4085323
106,Groendalstraat,2000,Antwerpen,51.2175472,4.4047049
107,Groenkerkhofstraat,2000,Antwerpen,51.2186649,4.4008495
108,Groenplaats,2000,Antwerpen,51.219181750000004,4.401251869659557
109,Grote Goddaard,2000,Antwerpen,51.2219318,4.404608
110,Grote Kauwenberg,2000,Antwerpen,51.2228015,4.4113629
111,Grote Koraalberg,2000,Antwerpen,51.22258455,4.400951927211127
112,Grote Kraaiwijk,2000,Antwerpen,51.2248468,4.4003088
113,Grote Markt,2000,Antwerpen,51.221171299999995,4.400351445406165
114,Grote Pieter Potstraat,2000,Antwerpen,51.2205616,4.3973901
115,Guldenberg,2000,Antwerpen,51.2242814,4.3995624
116,Haarstraat,2000,Antwerpen,51.2204508,4.3979182
117,Halfmanengang,2000,Antwerpen,51.2236263,4.410045
118,Hamerplaats,2000,Antwerpen,51.2246255,4.4080253
119,Hamerstraat,2000,Antwerpen,51.2247394,4.4081391
120,Handschoenmarkt,2000,Antwerpen,51.2206407,4.4004574
121,Hanzestedenplaats,2000,Antwerpen,51.228125,4.4052329
122,Happaertstraat,2000,Antwerpen,51.2152492,4.4018487
123,Haverstraat,2000,Antwerpen,51.2206131,4.3972027
124,Heilige Geeststraat,2000,Antwerpen,51.2187288,4.3981925
125,Hendrik Conscienceplein,2000,Antwerpen,51.22094585000001,4.4041661526423335
126,Henri Van Heurckstraat,2000,Antwerpen,51.2138792,4.4072392
127,Hessenbrug,2000,Antwerpen,51.2252074,4.4096859
128,Hessenplein,2000,Antwerpen,51.2263637,4.4097186
129,Hessenstraatje,2000,Antwerpen,51.225849,4.4092081
130,Hofstraat,2000,Antwerpen,51.2224463,4.4011426
131,Hoofdkerkstraat,2000,Antwerpen,51.2212899,4.403641
132,Hoogstraat,2000,Antwerpen,51.2199681,4.3984628
133,Hoornstraat,2000,Antwerpen,51.223789,4.4072353
134,Hopland,2000,Antwerpen,51.216551,4.4092373
135,Houtenbrug,2000,Antwerpen,51.2243269,4.4041662
136,Huidevettersstraat,2000,Antwerpen,51.2173433,4.4054884
137,Huikstraat,2000,Antwerpen,51.2245634,4.4038491
138,IJzerenpoortkaai,2000,Antwerpen,51.2104516,4.3879774
139,IJzerenwaag,2000,Antwerpen,51.2168494,4.4008519
140,Indiëstraat,2000,Antwerpen,51.234434,4.4096052
141,Israelietenstraat,2000,Antwerpen,51.2194272,4.4053193
142,Italiëlei,2000,Antwerpen,51.2243881,4.4151632
143,Jan Blomstraat,2000,Antwerpen,51.2199104,4.4008067
144,Jan van Gentstraat,2000,Antwerpen,51.2049612,4.3882217
145,Jan van Lierstraat,2000,Antwerpen,51.2215733,4.4079638
146,Jeruzalemstraat,2000,Antwerpen,51.2221268,4.4031196
147,Jezuïetenrui,2000,Antwerpen,51.2207979,4.4039075
148,Jezusstraat,2000,Antwerpen,51.21917955000001,4.413925232692316
149,Jodenstraat,2000,Antwerpen,51.2169446,4.4059841
150,Jordaenskaai,2000,Antwerpen,51.2227734,4.3981396
151,Jozef de Hasquestraat,2000,Antwerpen,51.2246136,4.4076298
152,Kaasbrug,2000,Antwerpen,51.2249951,4.4048214
153,Kaasrui,2000,Antwerpen,51.221092,4.4025737
154,Kaasstraat,2000,Antwerpen,51.2214521,4.3981602
155,Kammenstraat,2000,Antwerpen,51.216857,4.4010532
156,Kapucinessenstraat,2000,Antwerpen,51.2111985,4.4039673
157,Karel Rogierstraat,2000,Antwerpen,51.2097213,4.3949853
158,Kasteelpleinstraat,2000,Antwerpen,51.2114011,4.4010144
159,Kasteelstraat,2000,Antwerpen,51.2068099,4.3915395
160,Kattendijkbrug,2000,Antwerpen,51.2352908,4.4033312
161,Kattendijkdok,2000,Antwerpen,51.2351559,4.4069145
162,Kattendijkdok-Oostkaai,2000,Antwerpen,51.2311227,4.4091629
163,Kattendijkdok-Westkaai,2000,Antwerpen,51.231216,4.4050917
164,Kattenstraat,2000,Antwerpen,51.2217334,4.4108281
165,Kauwenstraatje,2000,Antwerpen,51.2239613,4.4124306
166,Keistraat,2000,Antwerpen,51.2252236,4.4021809
167,Keizerstraat,2000,Antwerpen,51.2218357,4.4055115
168,Kelderstraat,2000,Antwerpen,51.2161849,4.4070812
169,Kempenstraat,2000,Antwerpen,51.2317054,4.4160849
170,Kempischdok-Zuidkaai,2000,Antwerpen,51.2320433,4.4154426
171,Kempischdok,2000,Antwerpen,51.2349078,4.4160251
172,Kempischdok-Westkaai,2000,Antwerpen,51.2311861,4.4128661
173,Ketelstraat,2000,Antwerpen,51.2162123,4.4067105
174,Kiliaanstraat,2000,Antwerpen,51.2109892,4.4070872
175,Kipdorp,2000,Antwerpen,51.2210683,4.4066063
176,Kipdorpbrug,2000,Antwerpen,51.220031,4.4160631
177,Kipdorpvest,2000,Antwerpen,51.2179888,4.4142552
178,Klapdorp,2000,Antwerpen,51.2242901,4.4042019
179,Kleine Goddaard,2000,Antwerpen,51.2229911,4.4034488
180,Kleine Kauwenberg,2000,Antwerpen,51.2240785,4.4119656
181,Kleine Koraalberg,2000,Antwerpen,51.2228118,4.4007753
